"Abbreviation"	"Reaction"	"Description"
"R07756"	"C10538[c] <=> C10502[c]"	"X"
"R11201"	"C21072[c] + C21172[c] <=> C00010[c] + C21171[c]"	"(9Z)-hexadec-9-enoyl-CoA:[Wnt]-L-serine O-hexadecenoyltransferase"
"R01179"	"C00136[c] + C00033[c] <=> C00246[c] + C00024[c]"	"butanoyl-CoA:acetate CoA-transferase"
"R04050"	"C00083[c] + C02791[c] <=> C00010[c] + C04205[c]"	"malonyl-CoA:3,4-dichloroaniline N-malonyltransferase"
"R10609"	"C00190[c] + C05903[c] <=> C00015[c] + C20727[c]"	"UDP-alpha-D-xylose:kaempferol 3-O-D-xylosyltransferase"
"R00014"	"C00022[c] + C00068[c] <=> C05125[c] + C00011[c]"	"pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)"
"R11349"	"C00535[c] + C00138[c] + C00007[c] + C00080[c] <=> C21296[c] + C00001[c] + C00139[c]"	"testosterone,reduced-ferredoxin:oxygen oxidoreductase (1alpha-hydroxylating)"
"R02272"	"C00430[c] <=> C03741[c]"	"(S)-4-amino-5-oxopentanoate 4,5-aminomutase"
"R07454"	"C15787[c] + C00007[c] + C03024[c] <=> C15798[c] + C03161[c] + C00001[c]"	"campestanol,NADPH---hemoprotein reductase:oxygen 22S-oxidoreductase (hydroxylating)"
"R09499"	"C00283[c] + 2 C00125[c] <=> C00087[c] + 2 C00126[c] + 2 C00080[c]"	"hydrogen-sulfide:flavocytochrome c oxidoreductase"
"R02180"	"C00053[c] + C00401[c] <=> C00054[c] + C00634[c]"	"3'-phosphoadenylylsulfate:chondroitin 4'-sulfotransferase"
"R00506"	"C00052[c] + C05796[c] <=> C05796[c] + C00015[c]"	"UDP-alpha-D-galactose:galactan beta-1,4-D-galactosyltransferase"
"R11465"	"C11461[c] <=> C11447[c]"	"X"
"R04177"	"C03981[c] <=> C03248[c] + C00001[c]"	"2-hydroxyethylenedicarboxylate hydro-lyase"
"R04077"	"C00019[c] + C04118[c] <=> C00021[c] + C02890[c]"	"S-adenosyl-L-methionine:5,8,13,13a-tetrahydrocolumbamine 2-O-methyltransferase"
"R10216"	"C11101[c] + C00001[c] + C00007[c] <=> C20448[c] + C00027[c]"	"X"
"R03230"	"C00024[c] + C01091[c] <=> C00010[c] + C01626[c]"	"acetyl-CoA:17-O-deacetylvindoline 17-O-acetyltransferase"
"R00949"	"C00002[c] + C00103[c] <=> C00008[c] + C01231[c]"	"ATP:D-glucose-1-phosphate 6-phosphotransferase"
"R09778"	"C19888[c] + C00025[c] <=> C19889[c] + C00026[c]"	"LysW-gamma-L-lysine:2-oxoglutarate 6-aminotransferase"
"R05225"	"C06506[c] + 4 C00064[c] + 4 C00002[c] + 4 C00001[c] <=> C06507[c] + 4 C00025[c] + 4 C00009[c] + 4 C00008[c]"	"X"
"R04560"	"C00234[c] + C04677[c] <=> C00101[c] + C04734[c]"	"10-formyltetrahydrofolate:5'-phosphoribosyl-5-amino-4-imidazolecarboxamide formyltransferase"
"R09552"	"C00469[c] + C19680[c] <=> C00084[c] + C19681[c]"	"ethanol:N,N-dimethyl-4-nitrosoaniline oxidoreductase"
"R08803"	"C17745[c] + C00019[c] <=> C17746[c] + C00021[c]"	"S-adenosyl-L-methionine:1-(3,4-dihydroxyphenyl)-1-decene-3,5-dione O-methyltransferase"
"R02129"	"C00376[c] <=> C05918[c]"	"X"
"R08259"	"C11173[c] + C00167[c] <=> C11376[c] + C00015[c]"	"X"
"R00625"	"C00226[c] + C00006[c] <=> C00071[c] + C00005[c] + C00080[c]"	"primary_alcohol:NADP+ oxidoreductase"
"R03491"	"C01290[c] + C00270[c] <=> C04730[c] + C00001[c]"	"X"
"R11590"	"C21490[c] <=> C20643[c] + C00001[c]"	"octanoyl-CoA:2-aminobenzoylacetate octanoyltransferase"
"R06606"	"C10208[c] + C03024[c] + C00007[c] <=> C02495[c] + C03161[c] + C00001[c]"	"daidzein,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (2'-hydroxylating)"
"R02059"	"C00357[c] + C00001[c] <=> C00352[c] + C00033[c]"	"N-acetyl-D-glucosamine-6-phosphate amidohydrolase"
"R00514"	"C00112[c] + C00001[c] <=> C00055[c] + C00009[c]"	"CDP phosphohydrolase"
"R02194"	"C00002[c] + C01494[c] + C00010[c] <=> C00020[c] + C00013[c] + C00406[c]"	"ferulate:CoA ligase (AMP-forming)"
"R00462"	"C00047[c] <=> C01672[c] + C00011[c]"	"L-lysine carboxy-lyase (cadaverine-forming)"
"R12867"	"C00002[c] + C00133[c] + G13170[c] <=> C00020[c] + C00013[c] + G13171[c]"	"X"
"R12026"	"C00003[c] + C00037[c] + C00283[c] <=> C00153[c] + C20784[c] + 3 C00001[c]"	"NAD+:glycine ADP-D-ribosyltransferase (sulfide-adding)"
"R00990"	"C00108[c] <=> C00292[c] + C00011[c]"	"2-aminobenzoate carboxy-lyase"
"R10296"	"C20470[c] + C12137[c] <=> C06672[c] + C20495[c]"	"1-O-vanilloyl-beta-D-glucose:pelargonidin-3-O-beta-D-glucoside 7-O-beta-D-glucosyltransferase"
"R08619"	"C01180[c] + C00024[c] + C00001[c] <=> C17210[c] + C00010[c]"	"acetyl-CoA:4-methylthio-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)"
"R01982"	"C00470[c] + C00001[c] <=> C00333[c] + C00470[c]"	"poly(1,4-alpha-D-galacturonate) galacturonohydrolase"
"R05411"	"C03569[c] + C00007[c] <=> C07731[c]"	"X"
"R04697"	"C05220[c] + C00006[c] <=> C05179[c] + C00005[c] + C00080[c]"	"salutaridinol:NADP+ 7-oxidoreductase"
"R09252"	"C09811[c] + C04253[c] <=> C06322[c] + C04570[c]"	"cyclohex-1-ene-1-carbonyl-CoA:electron transfer flavoprotein oxidoreductase"
"R04654"	"C00043[c] + C04922[c] <=> C00015[c] + C04939[c]"	"UDP-N-acetyl-D-glucosamine:D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide beta-1,6-N-acetylglucosaminyltransferase"
"R04850"	"C05487[c] + 2 C00138[c] + C00007[c] + 2 C00080[c] <=> C05489[c] + 2 C00139[c] + C00001[c]"	"17alpha,21-dihydroxypregnenolone:oxygen oxidoreductase (11-hydroxylating)"
"R02694"	"C00605[c] + C00641[c] <=> C00010[c] + C00422[c]"	"2,3-dehydroacyl-CoA:1,2-diacylglycerol O-acyltransferase"
"R04170"	"C05262[c] <=> C03221[c] + C00001[c]"	"(S)-3-hydroxydodecanoyl-CoA hydro-lyase"
"R09650"	"C19781[c] + C00001[c] <=> C00148[c] + C00014[c]"	"L-prolinamide amidohydrolase"
"R05784"	"C07271[c] + C00001[c] <=> C07276[c]"	"limonene-1,2-epoxide hydrolase"
"R04160"	"C03198[c] + C00028[c] <=> C03590[c] + C00030[c]"	"X"
"R06238"	"G10614[c] + G00004[c] <=> G10620[c] + G00005[c]"	"GDP-D-mannose:D-Man-alpha-(1->3)-D-Man-beta-(1->4)-D-GlcNAc-beta-(1->4)-D-GlcNAc-diphosphodolichol alpha-6-mannosyltransferase"
"R09702"	"C11389[c] <=> C06074[c] + C00001[c]"	"(+)-linalool hydro-lyase (myrcene-forming)"
"R00380"	"C00019[c] + C00039[c] <=> C00021[c] + C02967[c]"	"S-adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase"
"R00229"	"C00002[c] + C00033[c] + C00010[c] <=> C00008[c] + C00024[c] + C00009[c]"	"acetate:CoA ligase (ADP-forming)"
"R08118"	"C02802[c] + C00001[c] <=> C02949[c] + C16487[c]"	"4-fluorobenzoyl CoA fluorohydrolase"
"R03008"	"C00859[c] + C00026[c] + C00007[c] <=> C03579[c] + C00042[c] + C00011[c]"	"(gibberellin-1),2-oxoglutarate:oxygen oxidoreductase (2beta-hydroxylating)"
"R02941"	"C06202[c] + C00003[c] + C00001[c] <=> C00805[c] + C00004[c] + C00080[c]"	"salicylaldehyde:NAD+ oxidoreductase"
"R10699"	"C00047[c] + C01092[c] <=> C04076[c] + C01037[c]"	"L-lysine:8-amino-7-oxononanoate aminotransferase"
"R04801"	"C05431[c] <=> C05434[c]"	"carotenoid beta-end group lyase (decyclizing)"
"R09689"	"C01054[c] <=> C19820[c]"	"(S)-2,3-epoxysqualene mutase [cyclizing, (17Z)-protosta-17(20),24-dien-3beta-ol-forming]"
"R01876"	"C00299[c] + C00009[c] <=> C00106[c] + C00620[c]"	"uridine:phosphate alpha-D-ribosyltransferase"
"R10007"	"C00448[c] <=> C09648[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, beta-cubebene-forming)"
"R05625"	"C00146[c] + C00002[c] + C00001[c] <=> C02734[c] + C00020[c] + C00009[c]"	"ATP:phenol phosphotransferase (AMP-forming)"
"R05049"	"C05932[c] + C00003[c] + C00001[c] <=> C05931[c] + C00004[c] + C00080[c]"	"N-succinyl-L-glutamate 5-semialdehyde:NAD+ oxidoreductase"
"R05295"	"C06730[c] + C00007[c] <=> C06760[c]"	"4-methylcatechol:oxygen 2,3-oxidoreductase(decyclizing)"
"R05895"	"C11816[c] + C00398[c] <=> C11817[c]"	"X"
"R08030"	"C16397[c] <=> C16400[c]"	"X"
"R04782"	"C05360[c] + 2 C05359[c] + 2 C00080[c] <=> C05361[c]"	"reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"
"R00502"	"C00075[c] + C00446[c] <=> C00013[c] + C00052[c]"	"UTP:alpha-D-galactose-1-phosphate uridylyltransferase"
"R03359"	"C01869[c] <=> C03765[c] + C00218[c]"	"(R)-synephrine hydro-lyase (methylamine-forming)"
"R02748"	"C05512[c] + C00009[c] <=> C00262[c] + C00672[c]"	"deoxyinosine:orthophosphate ribosyltransferase"
"R01098"	"C00124[c] + C00007[c] + C00001[c] <=> C00880[c] + C00027[c]"	"D-galactose:oxygen 6-oxidoreductase"
"R02571"	"C00527[c] + C15973[c] <=> C00010[c] + C06157[c]"	"glutaryl-CoA:enzyme-N6-(dihydrolipoyl)lysine S-glutaryltransferase"
"R11907"	"C21754[c] + C00003[c] <=> C21759[c]"	"X"
"R05364"	"C06582[c] + C00001[c] <=> C02632[c] + C00596[c]"	"2-hydroxy-6-oxo-7-methylocta-2,4-dienoate acylhydrolase"
"R00636"	"C00161[c] <=> C00071[c] + C00011[c]"	"2-oxo-acid carboxy-lyase (aldehyde-forming)"
"R08597"	"C11922[c] <=> C11927[c]"	"dTDP-4-oxo-2,6-dideoxy-D-glucose 3,5-epimerase"
"R02170"	"C00395[c] + C00001[c] <=> C00060[c] + C02954[c]"	"penicillin amidohydrolase"
"R07270"	"C03427[c] <=> C05413[c] + C00013[c]"	"prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase"
"R08361"	"C02090[c] + C16664[c] <=> C03170[c] + C16663[c]"	"X"
"R04257"	"C03582[c] <=> C05901[c]"	"X"
"R07333"	"C00029[c] + C00766[c] <=> C00015[c] + C04007[c]"	"UDP-glucose:flavanone 7-O-beta-D-glucosyltransferase"
"R02416"	"C00223[c] + C00493[c] <=> C00010[c] + C02947[c]"	"4-coumaroyl-CoA:shikimate O-(hydroxycinnamoyl)transferase"
"R02126"	"C00376[c] <=> C02110[c]"	"all-trans-retinal 11-cis-trans-isomerase"
"R01811"	"C00270[c] <=> C00645[c] + C00022[c]"	"N-acetylneuraminate pyruvate-lyase (N-acetyl-D-mannosamine-forming)"
"R04306"	"C04353[c] <=> C03766[c] + C00001[c]"	"X"
"R02519"	"C00544[c] + C00007[c] <=> C01036[c]"	"homogentisate:oxygen 1,2-oxidoreductase (decyclizing)"
"R08206"	"C01176[c] + C00005[c] + C00080[c] + C00007[c] <=> C00280[c] + C00033[c] + C00006[c] + C00001[c]"	"X"
"R08418"	"C01672[c] <=> C10773[c]"	"X"
"R09325"	"C18332[c] <=> C18629[c]"	"X"
"R01419"	"C00261[c] + C00003[c] + C00001[c] <=> C00180[c] + C00004[c] + C00080[c]"	"benzaldehyde:NAD+ oxidoreductase"
"R05407"	"C02933[c] + C00007[c] <=> C03918[c]"	"X"
"R11395"	"C21333[c] + C00026[c] <=> C21332[c] + C00025[c]"	"8-amino-3,8-dideoxy-D-manno-octulosonate:2-oxoglutarate aminotransferase"
"R04173"	"C01005[c] + C00026[c] <=> C03232[c] + C00025[c]"	"3-phosphoserine:2-oxoglutarate aminotransferase"
"R07612"	"C16001[c] + C00027[c] <=> C16002[c] + 2 C00001[c]"	"reactive-black-5:hydrogen-peroxide oxidoreductase"
"R00265"	"C00026[c] + C00010[c] + C00006[c] <=> C00091[c] + C00011[c] + C00005[c] + C00080[c]"	"2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating)"
"R10416"	"C20607[c] + C03024[c] + C00007[c] <=> C20604[c] + C03161[c] + 2 C00001[c]"	"tryprostatin A,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase"
"R00004"	"C00013[c] + C00001[c] <=> 2 C00009[c]"	"diphosphate phosphohydrolase;"
"R11597"	"C19491[c] + C03024[c] + C00007[c] <=> C18796[c] + C03161[c] + 2 C00001[c]"	"(E)-2-methylbutanal oxime,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase"
"R08599"	"G10614[c] + G10694[c] <=> G10620[c] + G01813[c]"	"X"
"R00519"	"C00058[c] + C00003[c] <=> C00080[c] + C00011[c] + C00004[c]"	"formate:NAD+ oxidoreductase"
"R02841"	"C05471[c] + C00006[c] <=> C00735[c] + C00005[c] + C00080[c]"	"11beta,17alpha,21-trihydroxy-5beta-pregnane-3,20-dione:NADP+ delta4-oxidoreductase;"
"R07668"	"C06672[c] + C00853[c] <=> C00230[c] + C06453[c]"	"X"
"R05700"	"C02666[c] + C00001[c] + C00003[c] <=> C01494[c] + C00004[c] + C00080[c]"	"coniferyl aldehyde:NAD oxidoreductase"
"R10184"	"C20357[c] + C20420[c] <=> C00105[c] + C20421[c]"	"UDP-N,N'-diacetylbacillosamine:tritrans,heptacis-undecaprenyl-phosphate N,N'-diacetylbacillosamine transferase"
"R03904"	"C00131[c] + C02270[c] <=> C12347[c] + C00821[c]"	"dATP:depurinated-DNA purinetransferase"
"R07895"	"C16335[c] + C00024[c] <=> C00010[c] + C16334[c]"	"X"
"R09888"	"C00448[c] <=> C20162[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (viridiflorene-forming)"
"R02241"	"C00416[c] + C00010[c] <=> C00681[c] + C00040[c]"	"acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase"
"R02132"	"C00378[c] + 2 C00007[c] + C00001[c] <=> C02892[c] + 2 C00027[c]"	"thiamin:oxygen 5-oxidoreductase"
"R10656"	"C20760[c] + 2 C00138[c] + 2 C00080[c] + C00007[c] <=> C12002[c] + 2 C00139[c] + C00001[c]"	"20-oxo-5-O-beta-mycaminosyltylactone,reduced ferredoxin:oxygen oxidoreductase (23-hydroxylating)"
"R04092"	"C02934[c] + C00016[c] <=> C06121[c] + C01352[c]"	"X"
"R05145"	"C05921[c] + C06249[c] <=> C00020[c] + C06250[c]"	"biotinyl-5'-AMP:apo-[carboxylase] ligase (AMP-forming)"
"R11903"	"C07447[c] + C00001[c] <=> C05361[c] + C00033[c]"	"acetylhydrazine amidohydrolase"
"R05504"	"C07089[c] + C00080[c] <=> C00682[c] + C00698[c]"	"X"
"R11033"	"C00062[c] <=> C05933[c]"	"X"
"R05059"	"C05961[c] + C00028[c] <=> C05962[c] + C00030[c]"	"X"
"R09169"	"C14335[c] + C00007[c] <=> C18267[c] + C00001[c]"	"X"
"R02662"	"C00630[c] + C15973[c] <=> C00010[c] + C15977[c]"	"2-methylpropanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylpropanoyl)transferase"
"R06996"	"C14724[c] <=> C14725[c]"	"X"
"R08883"	"C03167[c] <=> C17940[c]"	"X"
"R04392"	"C04084[c] + C00030[c] + C00007[c] <=> C04379[c] + C00028[c] + C00001[c]"	"pregna-4,9(11)-diene-3,20-dione,hydrogen-donor:oxygen oxidoreductase (9-epoxidizing)"
"R12978"	"C00024[c] + C22490[c] <=> C22491[c] + C00010[c]"	"acetyl-CoA:N-terminal-Met-[tubulin] Met-Nalpha-acetyltransferase"
"R07735"	"C02920[c] <=> C16188[c]"	"X"
"R08428"	"C06178[c] <=> C11359[c]"	"X"
"R00026"	"C00185[c] + C00001[c] <=> 2 C00221[c]"	"cellobiose glucohydrolase"
"R12649"	"C22298[c] + C19154[c] <=> C00144[c] + C22299[c]"	"3-[(R)-glyceryl]-diphospho-5'-guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 3-phosphoglycerate transferase"
"R09491"	"C05912[c] + 2 C00139[c] <=> C00500[c] + 2 C00138[c]"	"(3Z)-phycoerythrobilin:ferredoxin oxidoreductase (from biliverdin IXalpha)"
"R06030"	"G10481[c] + G10620[c] <=> G10481[c] + G11108[c]"	"GDP-glucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase"
"R09606"	"C00448[c] <=> C19734[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [(-)-alpha-gurjunene-forming]"
"R06684"	"C12425[c] + C12443[c] <=> C12426[c] + C00363[c]"	"dTDP-beta-L-daunosamine:epsilon-rhodomycinone beta-L-daunosaminyltransferase"
"R08784"	"C09844[c] + C02745[c] + C00007[c] <=> C03092[c] + C02869[c] + C00001[c]"	"1,8-cineole,[reduced flavodoxin]:oxygen oxidoreductase (2-endo-hydroxylating)"
"R07238"	"C00019[c] + C15527[c] <=> C00021[c] + C02463[c]"	"S-adenosyl-L-methionine:precorrin-1 C-methyltransferase"
"R11387"	"C21320[c] + C00030[c] + C00007[c] <=> C21321[c] + C00028[c] + C00001[c]"	"X"
"R10972"	"C20440[c] + C00001[c] <=> C20986[c]"	"5-phospho-alpha-D-ribose 1,2-cyclic phosphate 1-phosphohydrolase (D-ribose 2,5-bisphosphate-forming)"
"R05453"	"2 C00002[c] + C07113[c] + C00288[c] + C00001[c] + C00080[c] <=> 2 C00008[c] + 2 C00009[c] + C07114[c]"	"acetophenone:carbon-dioxide ligase (ADP-forming)"
"R12409"	"C04075[c] <=> C22138[c] + C00698[c] + C00080[c]"	"X"
"R07711"	"C09762[c] + C00005[c] + C00080[c] + C00007[c] <=> C16232[c] + C00006[c] + C00001[c]"	"X"
"R01340"	"C00405[c] + C00001[c] + C00007[c] <=> C00161[c] + C00014[c] + C00027[c]"	"D-amino-acid:oxygen oxidoreductase (deaminating)"
"R00944"	"C00234[c] + C00001[c] <=> C00058[c] + C00101[c]"	"10-formyltetrahydrofolate amidohydrolase"
"R09751"	"3 C00088[c] <=> 2 C00533[c] + C00244[c] + C00001[c]"	"nitrite:nitrite oxidoreductase"
"R03708"	"C01770[c] + C00001[c] <=> C01991[c]"	"1,4-lactone hydroxyacylhydrolase"
"R06303"	"C11901[c] <=> C11880[c] + C00013[c]"	"(+)-copaly-diphosphate diphosphate-lyase (cyclizing, neoabietadiene-forming)"
"R12031"	"C00078[c] + C01352[c] + C00698[c] + C00007[c] + C00080[c] <=> C21865[c] + C00016[c] + 2 C00001[c]"	"L-tryptophan:FADH2 oxidoreductase (5-halogenating)"
"R10292"	"C12138[c] + C00190[c] <=> C20491[c] + C00015[c]"	"UDP-alpha-D-xylose:delphinidin-3-O-beta-D-glucoside 2'''-O-xylosyltransferase"
"R08152"	"C16504[c] + C00001[c] <=> C16506[c]"	"X"
"R05632"	"C03203[c] + C00004[c] + C00080[c] + C00007[c] <=> C03012[c] + C00011[c] + C00003[c] + C00001[c]"	"1-hydroxy-2-naphthoate,NADH:oxygen oxidoreductase (2-hydroxylating, decarboxylating)"
"R06868"	"C00019[c] + C01210[c] <=> C00021[c] + C13482[c]"	"S-adenosyl-L-methionine:methylethanolamine phosphate N-methyltransferase"
"R02697"	"C03765[c] + C00006[c] + C00001[c] <=> C00642[c] + C00005[c] + C00080[c]"	"4-hydroxyphenylacetaldehyde:NADP+ oxidoreductase"
"R13030"	"C14179[c] + C00010[c] + C00002[c] <=> C19685[c] + C00020[c] + C00013[c]"	"X"
"R08106"	"C16484[c] <=> C00090[c] + C16487[c]"	"X"
"R00463"	"C02837[c] + C00001[c] <=> C00047[c]"	"L-lysine-1,6-lactam lactamhydrolase"
"R04493"	"C00043[c] + C01290[c] <=> C00015[c] + C04845[c]"	"UDP-N-acetyl-D-glucosamine:D-galactosyl-1,4-beta-D-glucosylceramide beta-1,3-acetylglucosaminyltransferase"
"R11236"	"C17697[c] <=> C21218[c]"	"X"
"R05977"	"G10609[c] + G00036[c] <=> G10619[c] + G00050[c]"	"X"
"R09285"	"C18351[c] + C00001[c] <=> C02814[c] + C00014[c]"	"X"
"R04687"	"C05161[c] + C00001[c] + C00003[c] <=> C05825[c] + C00014[c] + C00004[c] + C00080[c]"	"2,5-diaminohexanoate:NAD+ oxidoreductase (deaminating)"
"R07069"	"C14839[c] + C00051[c] <=> C14847[c]"	"3,4-dihydro-3-hydroxy-4-S-glutathionyl bromobenzene glutathione-lyase (epoxide-forming)"
"R08422"	"C06181[c] + C00423[c] <=> C10171[c]"	"X"
"R03352"	"C04047[c] + C00001[c] <=> C01188[c] + C00010[c]"	"3-hydroxy-2-methylpropanoyl-CoA hydrolase"
"R10066"	"C06090[c] + 3 C03024[c] + 3 C00007[c] <=> C11874[c] + 3 C03161[c] + 4 C00001[c]"	"ent-kaur-16-ene,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (hydroxylating)"
"R02750"	"C00673[c] + C00008[c] <=> C01801[c] + C00002[c]"	"ATP:2-deoxy-D-ribose 5-phosphotransferase"
"R09605"	"C19733[c] + C03024[c] + C00007[c] <=> C08980[c] + C03161[c] + C00001[c]"	"sophoradiol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (24-hydroxylating)"
"R12883"	"C22153[c] <=> C22156[c]"	"X"
"R12065"	"C21881[c] <=> C21861[c] + C21767[c]"	"X"
"R10028"	"C20310[c] + C00007[c] + C03024[c] <=> C20311[c] + C03161[c] + C00001[c]"	"N-hydroxy-L-isoleucine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating)"
"R11946"	"C17267[c] + C00007[c] <=> C21787[c]"	"X"
"R06189"	"G10610[c] + G00067[c] <=> G10619[c] + G00077[c]"	"X"
"R06664"	"C12410[c] + 2 C12447[c] + C11923[c] <=> C12411[c] + 3 C00363[c]"	"X"
"R09933"	"C20228[c] + C00006[c] <=> C20226[c] + C00005[c] + C00080[c]"	"(R)-benzoin:NADP+ oxidoreductase"
"R08141"	"C02513[c] + C00004[c] + C00080[c] <=> C00477[c] + C00003[c]"	"X"
"R12158"	"C00019[c] + C21957[c] <=> C00021[c] + C16789[c]"	"S-adenosyl-L-methionine:reumycin N1-methyltransferase (toxoflavin-forming)"
"R00115"	"2 C00051[c] + C00006[c] <=> C00127[c] + C00005[c] + C00080[c]"	"glutathione:NADP+ oxidoreductase"
"R07456"	"C00118[c] + C00199[c] + C00064[c] <=> C00018[c] + C00025[c] + C00009[c] + 3 C00001[c]"	"D-ribulose 5-phosphate,D-glyceraldehyde 3-phosphate pyridoxal 5'-phosphate-lyase"
"R08836"	"C00355[c] + C00007[c] <=> C17758[c]"	"3,4-dihydroxy-L-phenylalanine:oxygen 4,5-oxidoreductase (decyclizing)"
"R11572"	"C21413[c] + C00007[c] <=> C21475[c] + C00027[c] + C00011[c]"	"X"
"R05999"	"G00092[c] + C00270[c] <=> G00108[c] + C00001[c]"	"X"
"R09090"	"C00630[c] + 3 C00083[c] <=> C18202[c]"	"X"
"R05701"	"C02666[c] + C00001[c] + C00006[c] <=> C01494[c] + C00005[c] + C00080[c]"	"coniferyl aldehyde:NADP oxidoreductase"
"R03190"	"C00029[c] + C01048[c] <=> C00015[c] + C03799[c]"	"UDPglucose:phosphopolyprenol D-glucosyltransferase"
"R03197"	"C01051[c] <=> C03263[c] + 4 C00011[c]"	"uroporphyrinogen-III carboxy-lyase"
"R11893"	"C21750[c] + C00343[c] + C00001[c] <=> C21748[c] + C00342[c]"	"5-fluorodeoxyuridine-diphosphate:thioredoxin-disulfide 2'-oxidoreductase"
"R08009"	"C16408[c] + C00007[c] <=> C16410[c] + C00001[c]"	"2',3,4,4',6'-peptahydroxychalcone 4'-O-glucoside:oxygen oxidoreductase"
"R03531"	"C01345[c] + C00001[c] <=> C06196[c] + C00013[c]"	"2'-deoxyinosine-5'-triphosphate pyrophosphohydrolase;"
"R05812"	"C11542[c] + C00004[c] + C00080[c] <=> C11543[c] + C00003[c]"	"cobalt-precorrin-6B:NAD+ oxidoreductase"
"R02080"	"C00355[c] <=> C03758[c] + C00011[c]"	"3,4-dihydroxy-L-phenylalanine carboxy-lyase"
"R09511"	"C05544[c] + C00026[c] + C00007[c] <=> C02188[c] + C00042[c] + C00067[c] + C00011[c]"	"protein-N6-methyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase"
"R12882"	"C01557[c] <=> C22152[c]"	"X"
"R07524"	"C15879[c] + C00019[c] <=> C15881[c] + C00021[c]"	"S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase"
"R02707"	"C00645[c] + C00015[c] <=> C01170[c] + C00001[c]"	"N-acetyl-D-mannosamine N-acetylmannosaminohydrolase"
"R05223"	"C00194[c] + C00144[c] <=> C06510[c] + C05775[c]"	"X"
"R00338"	"C00036[c] + C00001[c] <=> C00209[c] + C00033[c]"	"oxaloacetate acetylhydrolase"
"R04332"	"C00019[c] + C03866[c] <=> C00021[c] + C04459[c]"	"S-adenosyl-L-methionine:glucuronoxylan-D-glucuronate 4-O-methyltransferase"
"R04950"	"C00024[c] + C05726[c] <=> C00010[c] + C05727[c]"	"acetyl-CoA:S-substituted L-cysteine N-acetyltransferase"
"R12169"	"C21937[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C21939[c] + 2 C00996[c] + 2 C00001[c]"	"(8Z,11Z)-icosadienoyl-CoA,ferrocytochrome-b5:oxygen oxidoreductase (5,6-cis-dehydrogenating)"
"R08104"	"C11272[c] + C00004[c] + C00080[c] + C00007[c] <=> C16484[c] + C00003[c]"	"X"
"R13094"	"C20323[c] <=> C20320[c]"	"X"
"R12272"	"C00002[c] + C01212[c] + C00025[c] <=> C00008[c] + C00009[c] + C22053[c]"	"UDP-N-acetylmuramoyl-L-alanine---L-glutamate ligase (ADP-forming)"
"R12703"	"C00499[c] + C00009[c] <=> C02091[c] + C00169[c]"	"X"
"R00124"	"C00002[c] + C00008[c] <=> C00008[c] + C00002[c]"	"ATP:ADP phosphatransferase"
"R08854"	"C17955[c] + 2 C22150[c] + 2 C00080[c] + C00007[c] <=> C17954[c] + 2 C22151[c] + 2 C00001[c]"	"(5R)-albaflavenol,reduced-ferredoxin:oxygen oxidoreductase"
"R07504"	"C14151[c] + C00019[c] <=> C14152[c] + C00021[c]"	"S-adenosyl-L-methionine:delta-tocopherol 5-O-methyltransferase"
"R02456"	"C00514[c] + C00006[c] <=> C02024[c] + C00005[c] + C00080[c]"	"D-mannonate:NADP+ 6-oxidoreductase"
"R01823"	"C00089[c] + C00718[c] <=> C00095[c] + C00718[c]"	"sucrose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase"
"R01269"	"C00019[c] + C00153[c] + C00080[c] <=> C00021[c] + C02918[c]"	"S-adenosyl-L-methionine:nicotinamide N-methyltransferase"
"R04615"	"C00203[c] + C04730[c] <=> C00015[c] + C04924[c]"	"UDP-N-acetyl-D-galactosamine:N-acetylneuraminyl-2,3-alpha-D-galactosyl1,4-beta-D-glucosylceramide beta-1,4-N-acetyl-galactosaminyltransferase"
