"Abbreviation"	"Description"	"Formula"
"C03823[c]"	"2-(2-Hydroxyacyl)sphingosine"	"C20H38NO4R"
"C03824[c]"	"2-Aminomuconate semialdehyde"	"C6H7NO3"
"C03826[c]"	"2-Dehydro-3-deoxy-D-xylonate"	"C5H8O5"
"C03827[c]"	"2-Dehydro-3-deoxy-L-fuconate"	"C6H10O5"
"C03832[c]"	"3,5,3'-Triiodothyropyruvate"	"C15H9I3O5"
"C03836[c]"	"3beta-Hydroxy-Delta5-steroid"	"C19H30O"
"C03837[c]"	"4-Methylumbelliferyl acetate"	"C12H10O4"
"C03838[c]"	"5'-Phosphoribosylglycinamide"	"C7H15N2O8P"
"C03840[c]"	"Juglone"	"C10H6O3"
"C03844[c]"	"D-Pinitol"	"C7H14O6"
"C03845[c]"	"5alpha-Cholest-8-en-3beta-ol"	"C27H46O"
"C03846[c]"	"6-Acetamido-3-aminohexanoate"	"C8H16N2O3"
"C03847[c]"	"6-Phospho-beta-D-galactoside"	"C6H12O9PR"
"C03848[c]"	"6F-alpha-D-Galactosylsucrose"	"C18H32O16"
"C03849[c]"	"Acyl-sn-glycerol 3-phosphate"	"X"
"C03851[c]"	"Adenosine 5'-phosphoramidate"	"C10H15N6O6P"
"C03852[c]"	"Androstan-3alpha,17beta-diol"	"C19H32O2"
"C03855[c]"	"Cholesteryl-beta-D-glucoside"	"C33H56O6"
"C03859[c]"	"D-Glucosyllipopolysaccharide"	"X"
"C03860[c]"	"Deaminohydroxyblasticidin S"	"C17H25N7O6"
"C03861[c]"	"Dibenzo[1,4]dioxin-2,3-dione"	"C12H6O4"
"C03862[c]"	"Dolichyl phosphate D-mannose"	"C26H47O9P(C5H8)n"
"C03864[c]"	"Ethyl (R)-3-hydroxyhexanoate"	"C8H16O3"
"C03865[c]"	"Ethyl (S)-3-hydroxyhexanoate"	"C8H16O3"
"C03866[c]"	"Glucuronoxylan D-glucuronate"	"(C21H32O18)n"
"C03868[c]"	"Indole-3-acetyl-myo-inositol"	"C16H19NO7"
"C03871[c]"	"L-2-Amino-6-oxoheptanedioate"	"C7H11NO5"
"C03872[c]"	"L-Serine-phosphoethanolamine"	"C5H13N2O6P"
"C03874[c]"	"Myosin heavy-chain phosphate"	"C5H9N2O6PR2"
"C03875[c]"	"Myosin light chain phosphate"	"C4H7N2O6PR2"
"C03880[c]"	"N-Substituted aminoacyl-tRNA"	"C13H18NO12PR4(C5H8O6PR)n"
"C03881[c]"	"N-Terminal-N-tetradecanoylglycyl-[protein]"	"C16H31NO3(C2H2NOR)n"
"C03882[c]"	"Piperine"	"C17H19NO3"
"C03884[c]"	"N(omega)-Methyl-L-arginine"	"C7H16N4O2"
"C03885[c]"	"3-Nonaprenyl-4-hydroxybenzoate"	"C52H78O3"
"C03887[c]"	"Oxidized Cypridina luciferin"	"C21H27N7O"
"C03888[c]"	"Oxidized Watasenia luciferin"	"C25H21N3O9S2"
"C03889[c]"	"Palmitoylphosphatidylcholine"	"C25H49NO8PR"
"C03892[c]"	"Phosphatidylglycerophosphate"	"C8H14O13P2R2"
"C03894[c]"	"Propane-1,2-diol 1-phosphate"	"C3H9O5P"
"C03895[c]"	"Peptide-L-methionine (S)-S-oxide"	"C6H10N2O3SR2"
"C03897[c]"	"Quercetin 3,3',7-trissulfate"	"C15H10O16S3"
"C03898[c]"	"Quercetin 3,4',7-trissulfate"	"C15H10O16S3"
"C03899[c]"	"S-(2-Hydroxyacyl)glutathione"	"C12H18N3O8SR"
"C03900[c]"	"S-(4-Bromophenyl)-L-cysteine"	"C9H10BrNO2S"
"C03901[c]"	"Thiomorpholine 3-carboxylate"	"C5H9NO2S"
"C03904[c]"	"alpha-N-Peptidyl-L-glutamate"	"C9H13N3O6R2(C2H2NOR)n"
"C03905[c]"	"alpha-N-Peptidyl-L-glutamine"	"C9H14N4O5R2(C2H2NOR)n"
"C03906[c]"	"beta-L-Arabinose 1-phosphate"	"C5H11O8P"
"C03910[c]"	"(24R,24(1)R)-Fucosterol epoxide"	"C29H48O2"
"C03912[c]"	"(S)-1-Pyrroline-5-carboxylate"	"C5H7NO2"
"C03917[c]"	"Dihydrotestosterone"	"C19H30O2"
"C03918[c]"	"2,4-Dichloro-cis,cis-muconate"	"C6H4Cl2O4"
"C03920[c]"	"2-(Methylthio)ethanesulfonate"	"C3H8O3S2"
"C03921[c]"	"2-Dehydro-3-deoxy-D-glucarate"	"C6H8O7"
"C03922[c]"	"2-Deoxystreptamine antibiotic"	"C6H12N2O3R2"
"C03925[c]"	"3,5-Dibromo-4-hydroxybenzoate"	"C7H4Br2O3"
"C03926[c]"	"3-Dehydro-2-deoxy-D-gluconate"	"C6H10O6"
"C03927[c]"	"3-Hydroxy-4H-pyrid-4-one"	"C5H5NO2"
"C03930[c]"	"3alpha-Hydroxyglycyrrhetinate"	"C30H46O4"
"C03933[c]"	"5-D-Glutamyl-D-glutamyl-peptide"	"C10H16N3O6R"
"C03935[c]"	"6beta-Hydroxy-17beta-estradiol"	"C18H24O3"
"C03939[c]"	"Acetyl-[acyl-carrier protein]"	"C2H3OSR"
"C03941[c]"	"Calmodulin N6-methyl-L-lysine"	"C8H15N3O2R2"
"C03942[c]"	"D-Galactosylglycosaminoglycan"	"X"
"C03943[c]"	"(2R,4S)-2,4-Diaminopentanoate"	"C5H12N2O2"
"C03944[c]"	"Dihydro-O-methylsterigmatocystin"	"C19H16O6"
"C03946[c]"	"Flavonol 3-O-beta-D-glucoside"	"C21H20O8"
"C03947[c]"	"Glycerol 1,2-cyclic phosphate"	"C3H7O5P"
"C03951[c]"	"Luteolin 7-O-beta-D-glucoside"	"C21H20O11"
"C03954[c]"	"N-Hydroxy-2-acetamidofluorene"	"C15H13NO2"
"C03955[c]"	"N6-Acetyl-N6-hydroxy-L-lysine"	"C8H16N2O4"
"C03956[c]"	"Oligoglycosylglucosylceramide"	"C19H35NO3R(C6H10O5)n"
"C03957[c]"	"Peptide 3-hydroxy-L-aspartate"	"C5H6N2O5R2"
"C03959[c]"	"[DNA-directed RNA polymerase]"	"X"
"C03961[c]"	"erythro-3-Hydroxy-Ls-aspartate"	"C4H7NO5"
"C03962[c]"	"(-)-Menthyl O-beta-D-glucoside"	"C16H30O6"
"C03963[c]"	"Sarsasapogenin"	"C27H44O3"
"C03964[c]"	"(R)-3-(4-Hydroxyphenyl)lactate"	"C9H10O4"
"C03968[c]"	"1-Alkyl-sn-glycero-3-phosphate"	"C3H8O6PR"
"C03972[c]"	"2,3,4,5-Tetrahydrodipicolinate"	"C7H9NO4"
"C03974[c]"	"2-Acyl-sn-glycerol 3-phosphate"	"C4H8O7PR"
"C03975[c]"	"Isoxanthopterin"	"C6H5N5O2"
"C03979[c]"	"2-Dehydro-3-deoxy-L-rhamnonate"	"C6H10O5"
"C03981[c]"	"2-Hydroxyethylenedicarboxylate"	"C4H4O5"
"C03982[c]"	"2-Methylpropanal O-methyloxime"	"C5H11NO"
"C03985[c]"	"Linalool"	"C10H18O"
"C03986[c]"	"3-Hydroxy-4-methylanthranilate"	"C8H9NO3"
"C03989[c]"	"Isolychnose"	"C24H42O21"
"C03990[c]"	"Lithocholic acid"	"C24H40O3"
"C03993[c]"	"4-(beta-D-Glucosyloxy)benzoate"	"C13H16O8"
"C03994[c]"	"4-Hydroxymethylphenylhydrazine"	"C7H10N2O"
"C03995[c]"	"4-Nitrophenyl-3-ketovalidamine"	"C13H16N2O6"
"C03996[c]"	"5'-O-beta-D-Glucosylpyridoxine"	"C14H21NO8"
"C03997[c]"	"5-Hydroxymethyldeoxycytidylate"	"C10H16N3O8P"
"C03998[c]"	"7-Methylguanosine 5'-phosphate"	"C11H17N5O8P"
"C03999[c]"	"Alanyl-poly(glycerolphosphate)"	"H2O(C6H12NO6P)n"
"C04000[c]"	"Benzyl 2-methyl-3-oxobutanoate"	"C12H14O3"
"C04002[c]"	"(Z)-But-1-ene-1,2,4-tricarboxylate"	"C7H8O6"
"C04006[c]"	"1D-myo-Inositol 3-phosphate"	"C6H13O9P"
"C04007[c]"	"Flavanone 7-O-beta-D-glucoside"	"C21H22O8"
"C04010[c]"	"Glycoprotein phospho-D-mannose"	"C6H12O9PR"
"C04015[c]"	"N-Acetyl-4-O-acetylneuraminate"	"C13H21NO10"
"C04016[c]"	"N-Acetyl-7-O-acetylneuraminate"	"C13H21NO10"
"C04017[c]"	"N-Acetyl-9-O-acetylneuraminate"	"C13H21NO10"
"C04018[c]"	"N-Acetyl-D-galactosaminoglycan"	"X"
"C04020[c]"	"D-Lysopine"	"C9H18N2O4"
"C04022[c]"	"S,S-Dimethyl-beta-propiothetin"	"C5H10O2S"
"C04024[c]"	"Vitexin 2''-O-beta-D-glucoside"	"C27H30O15"
"C04025[c]"	"alpha,omega-Dicarboxylic acid"	"C2H2O4(CH2)n"
"C04030[c]"	"(2,3-Dihydroxybenzoyl)adenylate"	"C17H18N5O10P"
"C04033[c]"	"1,3,6,8-Naphthalenetetrol"	"C10H8O4"
"C04034[c]"	"(1->6)-beta-D-Galactosylgalactogen"	"C12H22O11(C12H20O10)n"
"C04036[c]"	"1-Palmitoylglycerol 3-phosphate"	"C19H39O7P"
"C04037[c]"	"1-Phospho-alpha-D-galacturonate"	"C6H11O10P"
"C04039[c]"	"2,3-Dihydroxy-3-methylbutanoate"	"C5H10O4"
"C04042[c]"	"20alpha-Hydroxy-4-pregnen-3-one"	"C21H32O2"
"C04043[c]"	"3,4-Dihydroxyphenylacetaldehyde"	"C8H8O3"
"C04044[c]"	"3-(2,3-Dihydroxyphenyl)propanoate"	"C9H10O4"
"C04045[c]"	"3-(3,4-Dihydroxyphenyl)pyruvate"	"C9H8O5"
"C04046[c]"	"3-D-Glucosyl-1,2-diacylglycerol"	"C11H16O10R2"
"C04047[c]"	"3-Hydroxy-2-methylpropanoyl-CoA"	"C25H42N7O18P3S"
"C04050[c]"	"4-Hydroxyaminoquinoline N-oxide"	"C9H8N2O2"
"C04051[c]"	"5-Amino-4-imidazolecarboxyamide"	"C4H6N4O"
"C04052[c]"	"5-Carboxy-2-oxohept-3-enedioate"	"C8H8O7"
"C04053[c]"	"5-Dehydro-4-deoxy-D-glucuronate"	"C6H8O6"
"C04056[c]"	"Rumenic acid"	"C18H32O2"
"C04058[c]"	"Bis(5'-adenosyl) pentaphosphate"	"C20H29N10O22P5"
"C04061[c]"	"Cytochrome c N6-methyl-L-lysine"	"C8H15N3O2R2"
"C04062[c]"	"D-myo-Inositol 1,3-bisphosphate"	"C6H14O12P2"
"C04063[c]"	"D-myo-Inositol 3,4-bisphosphate"	"C6H14O12P2"
"C04067[c]"	"Diethyl 2-methyl-3-oxosuccinate"	"C9H14O5"
"C04069[c]"	"Flavonol 3-O-D-xylosylglycoside"	"C26H28O12"
"C04070[c]"	"Gibberellin 2-O-beta-D-glucoside"	"C25H32O11"
"C04071[c]"	"Guanidinoethyl methyl phosphate"	"C4H12N3O4P"
"C04073[c]"	"Heparosan-N-sulfate L-iduronate"	"C12H19NO14SR2"
"C04074[c]"	"Isoflavone 7-O-beta-D-glucoside"	"C21H20O8"
"C04075[c]"	"2-Amino-4-chloro-4-pentenoic acid"	"C5H8ClNO2"
"C04076[c]"	"L-2-Aminoadipate 6-semialdehyde"	"C6H11NO3"
"C04079[c]"	"N-((R)-Pantothenoyl)-L-cysteine"	"C12H22N2O6S"
"C04080[c]"	"N-(Long-chain-acyl)ethanolamine"	"C3H6NO2R"
"C04081[c]"	"N-Hydroxy-4-acetylaminobiphenyl"	"C14H13NO2"
"C04083[c]"	"N6-(Delta2-Isopentenyl)-adenine"	"C10H13N5"
"C04084[c]"	"Pregna-4,9(11)-diene-3,20-dione"	"C21H28O2"
"C04087[c]"	"Protein N(tau)-methyl-L-histidine"	"C8H10N4O2R2"
"C04088[c]"	"Octadecanoyl-[acyl-carrier protein]"	"C18H35OSR"
"C04089[c]"	"UDP-4-dehydro-6-deoxy-D-glucose"	"C15H22N2O16P2"
"C04090[c]"	"Ubiquitin C-terminal thiolester"	"X"
"C04091[c]"	"cis-1,2-Dihydrobenzene-1,2-diol"	"C6H8O2"
"C04092[c]"	"Delta1-Piperideine-2-carboxylate"	"C6H9NO2"
"C04093[c]"	"poly-cis-Polyprenyl diphosphate"	"C5H12O7P2(C5H8)n"
"C04097[c]"	"2-alpha-D-Mannosylheteroglycan"	"X"
"C04098[c]"	"3-alpha-D-Mannosylheteroglycan"	"X"
"C04099[c]"	"1,4-alpha-D-Glucooligosaccharide"	"(C18H30O15)n"
"C04101[c]"	"1-O,6-O-Digalloyl-beta-D-glucose"	"C20H20O14"
"C04103[c]"	"13-beta-D-Glucosyloxydocosanoate"	"C28H54O8"
"C04105[c]"	"2,5-Dihydro-5-oxofuran-2-acetate"	"C6H6O4"
"C04106[c]"	"2-(Hydroxymethyl)-4-oxobutanoate"	"C5H8O4"
"C04108[c]"	"20-Hydroxy-3-oxopregn-4-en-21-al"	"C21H30O3"
"C04109[c]"	"Gossypetin"	"C15H10O8"
"C04110[c]"	"3,5-Dihydroxy-1,4-naphthoquinone"	"C10H6O4"
"C04112[c]"	"3-Methyl-cis,cis-hexadienedioate"	"C7H8O4"
"C04114[c]"	"(E)-4-(Trimethylammonio)but-2-enoate"	"C7H13NO2"
"C04115[c]"	"4-Carboxy-4-hydroxy-2-oxoadipate"	"C7H8O8"
"C04118[c]"	"Isocorypalmine"	"C20H23NO4"
"C04121[c]"	"CMP-3-deoxy-D-manno-octulosonate"	"C17H26N3O15P"
"C04122[c]"	"D-1-Aminopropan-2-ol O-phosphate"	"C3H10NO4P"
"C04125[c]"	"[Isocitrate dehydrogenase (NADP+)]"	"C4H6N2O3R2"
"C04128[c]"	"Low-density lipoprotein L-serine"	"C4H6N2O3R2"
"C04131[c]"	"Monoamide of dicarboxylate"	"C2H3NO3(CH2)n"
"C04132[c]"	"N-Acetyl-D-glucosamine 6-sulfate"	"C8H15NO9S"
"C04133[c]"	"N-Acetyl-L-glutamate 5-phosphate"	"C7H12NO8P"
"C04136[c]"	"N-Acyl-D-glucosamine 6-phosphate"	"C7H13NO9PR"
"C04137[c]"	"Octopine"	"C9H18N4O4"
"C04138[c]"	"N(alpha)-gamma-L-Glutamylhistamine"	"C10H16N4O3"
"C04141[c]"	"Phospho-beta-adrenergic receptor"	"C4H7N2O6PR2"
"C04142[c]"	"Protein glutamate methyl ester"	"C7H10N2O4R2"
"C04143[c]"	"Protein N(omega)-methyl-L-arginine"	"C8H15N5O2R2"
"C04144[c]"	"Tetrahydropteroyltri-L-glutamate"	"C29H37N9O12"
"C04145[c]"	"all-trans-Nonaprenyl diphosphate"	"C45H76O7P2"
"C04146[c]"	"all-trans-Octaprenyl diphosphate"	"C40H68O7P2"
"C04148[c]"	"Phenylacetylglutamine"	"C13H16N2O4"
"C04149[c]"	"[alpha-Tubulin]-N6-acetyl-L-lysine"	"C9H15N3O3R2"
"C04150[c]"	"beta-D-Mannosylphosphodecaprenol"	"C56H93O9P"
"C04152[c]"	"rRNA containing N1-methylguanine"	"C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n"
"C04153[c]"	"rRNA containing N2-methylguanine"	"C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n"
"C04154[c]"	"rRNA containing N6-methyladenine"	"C11H16N5O7P(C5H8O6PR)n(C5H8O6PR)n"
"C04155[c]"	"tRNA containing 5-methylcytosine"	"C10H16N3O8P(C5H8O6PR)n(C5H8O6PR)n"
"C04156[c]"	"tRNA containing N1-methyladenine"	"C11H16N5O7P(C5H8O6PR)n(C5H8O6PR)n"
"C04157[c]"	"tRNA containing N1-methylguanine"	"C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n"
"C04158[c]"	"tRNA containing N2-methylguanine"	"C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n"
"C04159[c]"	"tRNA containing N6-methyladenine"	"C11H16N5O7P(C5H8O6PR)n(C5H8O6PR)n"
"C04160[c]"	"tRNA containing N7-methylguanine"	"C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n"
"C04161[c]"	"tRNA containing a thionucleotide"	"X"
"C04164[c]"	"trans-Cinnamoyl beta-D-glucoside"	"C15H18O7"
"C04167[c]"	"(+/-)-trans-Acenaphthene-1,2-diol"	"C12H10O2"
"C04170[c]"	"13-(2-Methylcrotonoyl)oxylupanine"	"C20H30N2O3"
"C04171[c]"	"(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate"	"C7H8O4"
"C04178[c]"	"Bromoxynil"	"C7H3Br2NO"
"C04180[c]"	"cis-Dec-3-enoyl-[acp]"	"C10H17OSR"
"C04181[c]"	"3-Hydroxy-3-methyl-2-oxobutanoic acid"	"C5H8O4"
"C04185[c]"	"5,6-Dihydroxyindole-2-carboxylate"	"C9H7NO4"
"C04186[c]"	"5-Carboxymethyl-2-hydroxymuconate"	"C8H8O7"
"C04187[c]"	"5-Methyldeoxycytidine diphosphate"	"C10H17N3O10P2"
"C04188[c]"	"S-Methyl-5-thio-D-ribose 1-phosphate"	"C6H13O7PS"
"C04194[c]"	"Flavonol 3-O-[alpha-L-rhamnosyl-(1->6)-beta-D-glucoside]"	"C27H30O12"
"C04195[c]"	"Glycoprotein phosphatidylinositol"	"X"
"C04196[c]"	"Heparosan-N-sulfate D-glucuronate"	"C12H19NO14SR2"
"C04197[c]"	"Indole-3-acetyl-beta-1-D-glucoside"	"C16H19NO7"
"C04199[c]"	"Isovitexin 2''-O-beta-D-glucoside"	"C27H30O15"
"C04201[c]"	"L-Tyrosine methyl ester 4-sulfate"	"C10H13NO6S"
"C04202[c]"	"Long-chain-fatty-acyl ethyl ester"	"C3H5O2R"
"C04203[c]"	"N,N-Dimethyl-1,4-phenylenediamine"	"C8H12N2"
"C04205[c]"	"N-(3,4-Dichlorophenyl)-malonamate"	"C9H7Cl2NO3"
"C04207[c]"	"N-Benzoyl-4-hydroxyanthranilate"	"C14H11NO4"
"C04208[c]"	"N-Benzoyl-4-methoxyanthranilate"	"C15H13NO4"
"C04209[c]"	"3-(Carboxycarbonylamino)-L-alanine"	"C5H8N2O5"
"C04210[c]"	"N5-(L-1-Carboxyethyl)-L-ornithine"	"C8H16N2O4"
"C04211[c]"	"N(6)-[(Indol-3-yl)acetyl]-L-lysine"	"C16H21N3O3"
"C04212[c]"	"3',5'-Cyclic nucleotide"	"C5H8O6PR"
"C04213[c]"	"Dolichyl diphosphooligosaccharide"	"C36H63N2O17P2R(C5H8)n"
"C04214[c]"	"Phospho-[tyrosine-3-monoxygenase]"	"X"
"C04215[c]"	"Phospholipid methylene fatty acid"	"C15H24O8PR3"
"C04216[c]"	"all-trans-Heptaprenyl diphosphate"	"C35H60O7P2"
"C04217[c]"	"all-trans-Pentaprenyl diphosphate"	"C25H44O7P2"
"C04218[c]"	"alpha,alpha'-Trehalose 6-mycolate"	"C44H82O13"
"C04219[c]"	"alpha-D-Aldosyl beta-D-fructoside"	"C12H22O11"
"C04221[c]"	"trans-1,2-Dihydrobenzene-1,2-diol"	"C6H8O2"
"C04225[c]"	"(Z)-But-2-ene-1,2,3-tricarboxylate"	"C7H8O6"
"C04226[c]"	"6-Oxo-1,4,5,6-tetrahydronicotinate"	"C6H7NO3"
"C04227[c]"	"Octopamine"	"C8H11NO2"
"C04230[c]"	"1-Acyl-sn-glycero-3-phosphocholine"	"C9H20NO7PR"
"C04232[c]"	"2'-Deoxyribonucleoside diphosphate"	"C5H11O9P2R"
"C04233[c]"	"2-Acyl-sn-glycero-3-phosphocholine"	"C9H20NO7PR"
"C04234[c]"	"2-Carboxy-D-arabinitol 1-phosphate"	"C6H13O10P"
"C04236[c]"	"(2S)-2-Isopropyl-3-oxosuccinate"	"C7H10O5"
"C04242[c]"	"5-Fluorodeoxyuridine monophosphate"	"C9H12FN2O8P"
"C04244[c]"	"6-Lactoyl-5,6,7,8-tetrahydropterin"	"C9H13N5O3"
"C04246[c]"	"But-2-enoyl-[acyl-carrier protein]"	"C4H5OSR"
"C04247[c]"	"D-Galactosyl-(1->4)-beta-D-glucosyl-R"	"C12H21O11R"
"C04248[c]"	"6-(alpha-D-Glucosaminyl)-1-phosphatidyl-1D-myo-inositol"	"C17H28NO17PR2"
"C04250[c]"	"DNA containing 6-O-methylguanine"	"C11H16N5O7P(C5H8O5PR)n(C5H8O5PR)n"
"C04251[c]"	"Deoxylimononic acid D-ring-lactone"	"C26H34O9"
"C04253[c]"	"Electron-transferring flavoprotein"	"X"
"C04255[c]"	"N-Acetyl-D-galactosamine 6-sulfate"	"C8H15NO9S"
"C04257[c]"	"N-Acetyl-D-mannosamine 6-phosphate"	"C8H16NO9P"
"C04258[c]"	"N-Formyl-L-methionylaminoacyl-tRNA"	"C18H28N2O13PSR3(C5H8O6PR)n"
"C04259[c]"	"N,N-Dimethylhistidine"	"C8H13N3O2"
"C04260[c]"	"O-D-Alanyl-poly(ribitol phosphate)"	"(C8H16NO8P)n"
"C04261[c]"	"Protein N(pi)-phospho-L-histidine"	"C7H9N4O5PR2"
"C04262[c]"	"Protein N(tau)-phospho-L-histidine"	"C7H9N4O5PR2"
"C04264[c]"	"3-[(4-Bromophenyl)sulfanyl]-2-oxopropanoate"	"C9H7BrO3S"
"C04266[c]"	"alpha-D-Glucosyllipopolysaccharide"	"X"
"C04268[c]"	"dTDP-4-amino-4,6-dideoxy-D-glucose"	"C16H27N3O14P2"
"C04271[c]"	"3,9-Dihydroxypterocarpan"	"C15H12O4"
"C04272[c]"	"(R)-2,3-Dihydroxy-3-methylbutanoate"	"C5H10O4"
"C04275[c]"	"1,2-Bis-O-sinapoyl-beta-D-glucose"	"C28H32O14"
"C04276[c]"	"1,6-alpha-D-Mannosyloligosaccharide"	"C12H21O10(C12H20O11)n"
"C04277[c]"	"1,8-Diazacyclotetradecane-2,9-dione"	"C12H22N2O2"
"C04280[c]"	"1-Guanidino-1-deoxy-scyllo-inositol"	"C7H15N3O5"
"C04281[c]"	"L-1-Pyrroline-3-hydroxy-5-carboxylate"	"C5H7NO3"
"C04282[c]"	"1-Pyrroline-4-hydroxy-2-carboxylate"	"C5H7NO3"
"C04284[c]"	"2-Heptyl-4-hydroxyquinoline-N-oxide"	"C16H21NO2"
"C04287[c]"	"3D-3,5/4-Trihydroxycyclohexane-1,2-dione"	"C6H8O5"
"C04290[c]"	"4-(3-Methylbut-2-enyl)-L-tryptophan"	"C16H20N2O2"
"C04291[c]"	"4-(Dimethylamino)phenylazoxybenzene"	"C14H15N3O"
"C04292[c]"	"5'-Phosphonucleoside 3'-diphosphate"	"C5H12O13P3R"
"C04293[c]"	"Chrysoeriol"	"C16H12O6"
"C04294[c]"	"5-(2-Hydroxyethyl)-4-methylthiazole"	"C6H9NOS"
"C04295[c]"	"Androstenediol"	"C19H30O2"
"C04297[c]"	"CDP-4-dehydro-3,6-dideoxy-D-glucose"	"C15H23N3O14P2"
"C04298[c]"	"Holo-[citrate (pro-3S)-lyase]"	"HSR"
"C04299[c]"	"D-myo-Inositol 1,2-cyclic phosphate"	"C6H11O8P"
"C04300[c]"	"Estradiol-17alpha 3-D-glucuronoside"	"C24H32O8"
"C04302[c]"	"N-(5-Phospho-D-ribosyl)anthranilate"	"C12H16NO9P"
"C04303[c]"	"N-Benzoyl-D-arginine-4-nitroanilide"	"C19H22N6O4"
"C04305[c]"	"N-Long-chain-fatty-acyl-L-glutamate"	"C6H8NO5R(CH2)n"
"C04308[c]"	"Phosphatidyl-N-dimethylethanolamine"	"C9H16NO8PR2"
"C04309[c]"	"Phosphoenol-4-deoxy-3-tetrulosonate"	"C4H7O7P"
"C04311[c]"	"Protein L-isoaspartate methyl ester"	"C6H8N2O4R2"
"C04312[c]"	"RNA terminal-2',3'-cyclic-phosphate"	"C10H16O12P2R2(C5H8O6PR)n"
"C04314[c]"	"cis-1,2-Dihydronaphthalene-1,2-diol"	"C10H10O2"
"C04315[c]"	"2-Acyl-3-O-(beta-D-galactosyl)-sn-glycerol"	"C10H17O9R"
"C04316[c]"	"(1-Hydroxycyclohexan-1-yl)acetyl-CoA"	"C29H48N7O18P3S"
"C04317[c]"	"1-Organyl-2-lyso-sn-glycero-3-phosphocholine"	"C8H20NO6PR"
"C04318[c]"	"11-O-Demethyl-17-O-deacetylvindoline"	"C22H28N2O5"
"C04322[c]"	"Delta1-Pyrroline-5-carboxylate"	"C5H7NO2"
"C04324[c]"	"(1E,3E)-4-Hydroxybuta-1,3-diene-1,2,4-tricarboxylate"	"C7H6O7"
"C04327[c]"	"4-Methyl-5-(2-phosphooxyethyl)thiazole"	"C6H10NO4PS"
"C04330[c]"	"5,10-Methenyltetrahydromethanopterin"	"C31H44N6O16P"
"C04332[c]"	"6,7-Dimethyl-8-(D-ribityl)lumazine"	"C13H18N4O6"
"C04333[c]"	"Bis-D-fructose 2',1:2,1'-dianhydride"	"C12H20O10"
"C04334[c]"	"Acetyl-[citrate (pro-3S)-lyase]"	"C2H3OSR"
"C04335[c]"	"N(alpha)-Benzyloxycarbonyl-L-leucine"	"C14H19NO4"
"C04339[c]"	"Peptide N-(ADP-D-ribosyl)diphthamide"	"C29H44N11O16P2R2"
"C04340[c]"	"Phospholipid cyclopropane fatty acid"	"C15H24O8PR3"
"C04341[c]"	"Ribosomal-protein N-acetyl-L-alanine"	"C5H9N2O2R"
"C04342[c]"	"Soluble variant-surface-glycoprotein"	"C58H99N3O48PR(C2H2NOR)n"
"C04346[c]"	"dTDP-4-amino-4,6-dideoxy-D-galactose"	"C16H27N3O14P2"
"C04348[c]"	"L-Malyl-CoA"	"C25H40N7O20P3S"
"C04349[c]"	"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate"	"C6H8O6"
"C04350[c]"	"(E)-4-Hydroxyphenylacetaldehyde oxime"	"C8H9NO2"
"C04351[c]"	"(R)-2-Methylimino-1-phenylpropan-1-ol"	"C10H13NO"
"C04352[c]"	"(R)-4'-Phosphopantothenoyl-L-cysteine"	"C12H23N2O9PS"
"C04353[c]"	"(Z)-4-Hydroxyphenylacetaldehyde oxime"	"C8H9NO2"
"C04354[c]"	"1,2-beta-D-Glucuronosyl-D-glucuronate"	"C12H18O13"
"C04359[c]"	"1-Deoxy-D-altro-heptulose 7-phosphate"	"C7H15O9P"
"C04361[c]"	"1-O-Alkyl-2-acetyl-3-acyl-sn-glycerol"	"C6H8O5R2"
"C04366[c]"	"3-(2-Carboxyethenyl)-cis,cis-muconate"	"C9H8O6"
"C04367[c]"	"3-(3,5-Diiodo-4-hydroxyphenyl)lactate"	"C9H8I2O4"
"C04368[c]"	"3-Amino-3-(4-hydroxyphenyl)propanoate"	"C9H11NO3"
"C04371[c]"	"3-Sulfanyl-2-(sulfanylmethyl)propanoate"	"C4H8O2S2"
"C04372[c]"	"3-O-L-Alanyl-1-O-phosphatidylglycerol"	"C11H18NO11PR2"
"C04373[c]"	"Etiocholanolone"	"C19H30O2"
"C04375[c]"	"4-N-(N-Acetyl-D-glucosaminyl)-protein"	"C13H20N4O8R2"
"C04376[c]"	"5'-Phosphoribosyl-N-formylglycinamide"	"C8H15N2O9P"
"C04377[c]"	"5,10-Methylenetetrahydromethanopterin"	"C31H45N6O16P"
"C04379[c]"	"9,11alpha-Epoxypregn-4-ene-3,20-dione"	"C21H28O3"
"C04381[c]"	"DNA 4,6-diamino-5-formamidopyrimidine"	"C10H16N5O7P(C5H8O5PR)n(C5H8O5PR)n"
"C04384[c]"	"Heparan sulfate alpha-D-glucosaminide"	"C6H12NO5(C12H19NO19S3)n"
"C04385[c]"	"Flavonol 3-O-(6-O-malonyl-beta-D-glucoside)"	"C24H22O11"
"C04386[c]"	"Myelin proteolipid O-palmitoylprotein"	"C20H36N2O4R2"
"C04387[c]"	"N-Acetyl-alpha-D-galactosaminyl-polypeptide"	"C8H14NO6R"
