,Abbreviation,Description,Reaction
9091,GGGT_HDE_HDE_15_h,Galactolipid galactosyltransferase(16:1(9Z)/16:1(9Z)),mgdg161_h + mgdg1819Z163n4_h <==> 12dgr1819Z163n4_h + dgdg161_h
9092,GGGT_HDE_HDE_16_h,Galactolipid galactosyltransferase(16:1(9Z)/16:1(9Z)),mgdg161_h + mgdg205n3163n4_h <==> 12dgr205n3163n4_h + dgdg161_h
9093,GGGT_OLE_HDE_1_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg140160_h + mgdg1819Z1619Z_h <==> 12dgr140160_h + dgdg1819Z1619Z_h
9094,GGGT_OLE_HDE_2_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg1401619Z_h + mgdg1819Z1619Z_h <==> 12dgr1401619Z_h + dgdg1819Z1619Z_h
9095,GGGT_OLE_HDE_5_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg1819Z160_h + mgdg1819Z1619Z_h <==> 12dgr1819Z160_h + dgdg1819Z1619Z_h
9096,GGGT_OLE_HDE_7_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg1819Z1619Z_h + mgdg205n3160_h <==> 12dgr205n3160_h + dgdg1819Z1619Z_h
9097,GGGT_OLE_HDE_9_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg140162n4_h + mgdg1819Z1619Z_h <==> 12dgr140162n4_h + dgdg1819Z1619Z_h
9098,GGGT_OLE_HDE_10_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg1619Z162n4_h + mgdg1819Z1619Z_h <==> 12dgr1619Z162n4_h + dgdg1819Z1619Z_h
9099,GGGT_OLE_HDE_12_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg1819Z1619Z_h + mgdg205n3162n4_h <==> 12dgr205n3162n4_h + dgdg1819Z1619Z_h
9100,GGGT_OLE_HDE_14_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg1619Z163n4_h + mgdg1819Z1619Z_h <==> 12dgr1619Z163n4_h + dgdg1819Z1619Z_h
9101,GGGT_OLE_HDE_16_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg1819Z1619Z_h + mgdg205n3163n4_h <==> 12dgr205n3163n4_h + dgdg1819Z1619Z_h
9102,GGGT_OLE_HDE_17_h,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),mgdg1819Z1619Z_h + mgdg205n3164n1_h <==> 12dgr205n3164n1_h + dgdg1819Z1619Z_h
9103,GGGT_EPA_PALM_2_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",mgdg1401619Z_h + mgdg205n3160_h <==> 12dgr1401619Z_h + dgdg205n3160_h
9104,GGGT_EPA_PALM_4_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",mgdg161_h + mgdg205n3160_h <==> 12dgr161_h + dgdg205n3160_h
9105,GGGT_EPA_PALM_5_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",mgdg1819Z160_h + mgdg205n3160_h <==> 12dgr1819Z160_h + dgdg205n3160_h
9106,GGGT_EPA_PALM_6_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",mgdg1819Z1619Z_h + mgdg205n3160_h <==> 12dgr1819Z1619Z_h + dgdg205n3160_h
9107,GGGT_EPA_PALM_9_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",mgdg140162n4_h + mgdg205n3160_h <==> 12dgr140162n4_h + dgdg205n3160_h
9108,GGGT_EPA_PALM_13_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",mgdg140163n4_h + mgdg205n3160_h <==> 12dgr140163n4_h + dgdg205n3160_h
9109,GGGT_EPA_PALM_17_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",mgdg205n3160_h + mgdg205n3164n1_h <==> 12dgr205n3164n1_h + dgdg205n3160_h
9110,GGGT_EPA_HDE_2_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg1401619Z_h + mgdg205n31619Z_h <==> 12dgr1401619Z_h + dgdg205n31619Z_h
9111,GGGT_EPA_HDE_7_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg205n3160_h + mgdg205n31619Z_h <==> 12dgr205n3160_h + dgdg205n31619Z_h
9112,GGGT_EPA_HDE_8_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",2.0 mgdg205n31619Z_h <==> 12dgr205n31619Z_h + dgdg205n31619Z_h
9113,GGGT_EPA_HDE_10_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg1619Z162n4_h + mgdg205n31619Z_h <==> 12dgr1619Z162n4_h + dgdg205n31619Z_h
9114,GGGT_EPA_HDE_11_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg1819Z162n4_h + mgdg205n31619Z_h <==> 12dgr1819Z162n4_h + dgdg205n31619Z_h
9115,GGGT_EPA_HDE_12_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg205n31619Z_h + mgdg205n3162n4_h <==> 12dgr205n3162n4_h + dgdg205n31619Z_h
9116,GGGT_EPA_HDE_14_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg1619Z163n4_h + mgdg205n31619Z_h <==> 12dgr1619Z163n4_h + dgdg205n31619Z_h
9117,GGGT_EPA_HDE_15_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg1819Z163n4_h + mgdg205n31619Z_h <==> 12dgr1819Z163n4_h + dgdg205n31619Z_h
9118,GGGT_OLE_HDDE_1_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:2(9Z,12Z))",mgdg140160_h + mgdg1819Z162n4_h <==> 12dgr140160_h + dgdg1819Z162n4_h
9119,GGGT_OLE_HDDE_2_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:2(9Z,12Z))",mgdg1401619Z_h + mgdg1819Z162n4_h <==> 12dgr1401619Z_h + dgdg1819Z162n4_h
9120,GGGT_OLE_HDDE_3_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:2(9Z,12Z))",mgdg1619Z160_h + mgdg1819Z162n4_h <==> 12dgr1619Z160_h + dgdg1819Z162n4_h
9121,GGGT_OLE_HDDE_6_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:2(9Z,12Z))",mgdg1819Z1619Z_h + mgdg1819Z162n4_h <==> 12dgr1819Z1619Z_h + dgdg1819Z162n4_h
9122,GGGT_OLE_HDDE_8_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:2(9Z,12Z))",mgdg1819Z162n4_h + mgdg205n31619Z_h <==> 12dgr205n31619Z_h + dgdg1819Z162n4_h
9123,GGGT_OLE_HDDE_11_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:2(9Z,12Z))",2.0 mgdg1819Z162n4_h <==> 12dgr1819Z162n4_h + dgdg1819Z162n4_h
9124,GGGT_OLE_HDDE_13_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:2(9Z,12Z))",mgdg140163n4_h + mgdg1819Z162n4_h <==> 12dgr140163n4_h + dgdg1819Z162n4_h
9125,GGGT_OLE_HDDE_14_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:2(9Z,12Z))",mgdg1619Z163n4_h + mgdg1819Z162n4_h <==> 12dgr1619Z163n4_h + dgdg1819Z162n4_h
9126,GGGT_OLE_HDDE_17_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:2(9Z,12Z))",mgdg1819Z162n4_h + mgdg205n3164n1_h <==> 12dgr205n3164n1_h + dgdg1819Z162n4_h
9127,GGGT_EPA_HDDE_1_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))",mgdg140160_h + mgdg205n3162n4_h <==> 12dgr140160_h + dgdg205n3162n4_h
9128,GGGT_EPA_HDDE_2_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))",mgdg1401619Z_h + mgdg205n3162n4_h <==> 12dgr1401619Z_h + dgdg205n3162n4_h
9129,GGGT_EPA_HDDE_5_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))",mgdg1819Z160_h + mgdg205n3162n4_h <==> 12dgr1819Z160_h + dgdg205n3162n4_h
9130,GGGT_EPA_HDDE_10_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))",mgdg1619Z162n4_h + mgdg205n3162n4_h <==> 12dgr1619Z162n4_h + dgdg205n3162n4_h
9131,GGGT_EPA_HDDE_11_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))",mgdg1819Z162n4_h + mgdg205n3162n4_h <==> 12dgr1819Z162n4_h + dgdg205n3162n4_h
9132,GGGT_EPA_HDDE_12_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))",2.0 mgdg205n3162n4_h <==> 12dgr205n3162n4_h + dgdg205n3162n4_h
9133,GGGT_EPA_HDDE_13_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))",mgdg140163n4_h + mgdg205n3162n4_h <==> 12dgr140163n4_h + dgdg205n3162n4_h
9134,GGGT_OLE_HDTE_4_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:3(6Z,9Z,12Z))",mgdg161_h + mgdg1819Z163n4_h <==> 12dgr161_h + dgdg1819Z163n4_h
9135,GGGT_OLE_HDTE_5_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:3(6Z,9Z,12Z))",mgdg1819Z160_h + mgdg1819Z163n4_h <==> 12dgr1819Z160_h + dgdg1819Z163n4_h
9136,GGGT_OLE_HDTE_7_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:3(6Z,9Z,12Z))",mgdg1819Z163n4_h + mgdg205n3160_h <==> 12dgr205n3160_h + dgdg1819Z163n4_h
9137,GGGT_OLE_HDTE_12_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:3(6Z,9Z,12Z))",mgdg1819Z163n4_h + mgdg205n3162n4_h <==> 12dgr205n3162n4_h + dgdg1819Z163n4_h
9138,GGGT_OLE_HDTE_13_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:3(6Z,9Z,12Z))",mgdg140163n4_h + mgdg1819Z163n4_h <==> 12dgr140163n4_h + dgdg1819Z163n4_h
9139,GGGT_OLE_HDTE_15_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:3(6Z,9Z,12Z))",2.0 mgdg1819Z163n4_h <==> 12dgr1819Z163n4_h + dgdg1819Z163n4_h
9140,GGGT_OLE_HDTE_16_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:3(6Z,9Z,12Z))",mgdg1819Z163n4_h + mgdg205n3163n4_h <==> 12dgr205n3163n4_h + dgdg1819Z163n4_h
9141,GGGT_OLE_HDTE_17_h,"Galactolipid galactosyltransferase(18:1(9Z)/16:3(6Z,9Z,12Z))",mgdg1819Z163n4_h + mgdg205n3164n1_h <==> 12dgr205n3164n1_h + dgdg1819Z163n4_h
9142,GGGT_EPA_HDTE_6_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))",mgdg1819Z1619Z_h + mgdg205n3163n4_h <==> 12dgr1819Z1619Z_h + dgdg205n3163n4_h
9143,GGGT_EPA_HDTE_8_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))",mgdg205n31619Z_h + mgdg205n3163n4_h <==> 12dgr205n31619Z_h + dgdg205n3163n4_h
9144,GGGT_EPA_HDTE_13_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))",mgdg140163n4_h + mgdg205n3163n4_h <==> 12dgr140163n4_h + dgdg205n3163n4_h
9145,GGGT_EPA_HDTE_14_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))",mgdg1619Z163n4_h + mgdg205n3163n4_h <==> 12dgr1619Z163n4_h + dgdg205n3163n4_h
9146,GGGT_EPA_HDTE_15_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))",mgdg1819Z163n4_h + mgdg205n3163n4_h <==> 12dgr1819Z163n4_h + dgdg205n3163n4_h
9147,GGGT_EPA_HDTE_17_h,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))",mgdg205n3163n4_h + mgdg205n3164n1_h <==> 12dgr205n3164n1_h + dgdg205n3163n4_h
9148,AACPDAGAT_HDE_PALM_OLE_h,Acyl-ACP: diacylglycerol acyltransferase (16:1(9Z)/16:0/18:1(9Z)),12dgr1619Z160_h + octeACP_h <==> ACP_h + tag1619Z1601819Z_h
9149,AACPDAGAT_OLE_PALM_PALM_h,Acyl-ACP: diacylglycerol acyltransferase (18:1(9Z)/16:0/16:0),12dgr1819Z160_h + palmACP_h <==> ACP_h + tag1819Z160160_h
9150,AACPDAGAT_OLE_PALM_HDE_h,Acyl-ACP: diacylglycerol acyltransferase (18:1(9Z)/16:0/16:1(9Z)),12dgr1819Z160_h + hdeACP_h <==> ACP_h + tag1819Z1601619Z_h
9151,MGDGH_HDE_PALM_h,Galactolipid acylhydrolase (MGDG)(16:1(9Z)/16:0),2.0 h2o_h + mgdg1619Z160_h <==> ggl_h + 2.0 h_h + hdca_h + hdcea_h
9152,MGDGH_EPA_PALM_h,"Galactolipid acylhydrolase (MGDG)(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",2.0 h2o_h + mgdg205n3160_h <==> ggl_h + 2.0 h_h + hdca_h + tmndnc_h
9153,MGDGH_EPA_HDE_h,"Galactolipid acylhydrolase (MGDG)(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",2.0 h2o_h + mgdg205n31619Z_h <==> ggl_h + 2.0 h_h + hdcea_h + tmndnc_h
9154,MGDGH_HDE_HDDE_h,"Galactolipid acylhydrolase (MGDG)(16:1(9Z)/16:2(9Z,12Z))",2.0 h2o_h + mgdg1619Z162n4_h <==> ggl_h + 2.0 h_h + hd912ea_h + hdcea_h
9155,MGDGH_OLE_HDDE_h,"Galactolipid acylhydrolase (MGDG)(18:1(9Z)/16:2(9Z,12Z))",2.0 h2o_h + mgdg1819Z162n4_h <==> ggl_h + 2.0 h_h + hd912ea_h + ocdcea_h
9156,MGDGH_EPA_HDDE_h,"Galactolipid acylhydrolase (MGDG)(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))",2.0 h2o_h + mgdg205n3162n4_h <==> ggl_h + 2.0 h_h + hd912ea_h + tmndnc_h
9157,DGDGH_EPA_PALM_h,"Galactolipid acylhydrolase (DGDG)(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",dgdg205n3160_h + 2.0 h2o_h <==> dggl_h + 2.0 h_h + hdca_h + tmndnc_h
9158,DGDGH_OLE_HDDE_h,"Galactolipid acylhydrolase (DGDG)(18:1(9Z)/16:2(9Z,12Z))",dgdg1819Z162n4_h + 2.0 h2o_h <==> dggl_h + 2.0 h_h + hd912ea_h + ocdcea_h
9159,DGDGH_EPA_HDDE_h,"Galactolipid acylhydrolase (DGDG)(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))",dgdg205n3162n4_h + 2.0 h2o_h <==> dggl_h + 2.0 h_h + hd912ea_h + tmndnc_h
9160,DGDGH_OLE_HDTE_h,"Galactolipid acylhydrolase (DGDG)(18:1(9Z)/16:3(6Z,9Z,12Z))",dgdg1819Z163n4_h + 2.0 h2o_h <==> dggl_h + 2.0 h_h + hd6912ea_h + ocdcea_h
9161,DGDGH_EPA_HDTE_h,"Galactolipid acylhydrolase (DGDG)(20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))",dgdg205n3163n4_h + 2.0 h2o_h <==> dggl_h + 2.0 h_h + hd6912ea_h + tmndnc_h
9162,FACOAL_164_6Z9Z12Z15Z_c,"Long-chain acyl-CoA synthetase (16:4(6Z,9Z,12Z,15Z))",atp_c + coa_c + hd691215ea_c <==> amp_c + hd691215coa_c + ppi_c
9163,ACOADAGAT_MYRS_EPA_HDTTE_c,"Acyl-COA: diacylglycerol acyltransferase (14:0/20:5(5Z,8Z,11Z,14Z,17Z)/16:4(6Z,9Z,12Z,15Z))",12dgr140205n3_c + hd691215coa_c <==> coa_c + tag140205n3164n1_c
9164,ACOADAGAT_EPA_EPA_HDTTE_c,"Acyl-COA: diacylglycerol acyltransferase (20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z)/16:4(6Z,9Z,12Z,15Z))",12dgr205n3_c + hd691215coa_c <==> coa_c + tag205n3205n3164n1_c
9165,ACOADAGAT_EPA_EPA_HDTE_c,"Acyl-COA: diacylglycerol acyltransferase (20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))",12dgr205n3_c + hd6912coa_c <==> coa_c + tag205n3205n3163n4_c
9166,G3MGt_c,Glycerol-3-galactose transport to cytosol from plastid,ggl_h <==> ggl_c
9167,DGDGS_EPA_EPA_c,"UDP-galactose-dependent DGDG synthase(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))",mgdg205n3_c + udpgal_c <==> dgdg205n3_c + h_c + udp_c
9168,DGDGS_MYRS_PALM_c,UDP-galactose-dependent DGDG synthase(14:0/16:0),mgdg140160_c + udpgal_c <==> dgdg140160_c + h_c + udp_c
9169,GGGT_EPA_EPA_2_c,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))",mgdg205n31619Z_c + mgdg205n3_c <==> 12dgr205n31619Z_c + dgdg205n3_c
9170,GGGT_EPA_EPA_3_c,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))",mgdg140160_c + mgdg205n3_c <==> 12dgr140160_c + dgdg205n3_c
9171,GGGT_EPA_HDE_1_c,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg205n31619Z_c + mgdg205n3_c <==> 12dgr205n3_c + dgdg205n31619Z_c
9172,GGGT_EPA_HDE_4_c,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg160_c + mgdg205n31619Z_c <==> 12dgr160_c + dgdg205n31619Z_c
9173,GGGT_EPA_HDE_5_c,"Galactolipid galactosyltransferase(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",mgdg1819Z1619Z_c + mgdg205n31619Z_c <==> 12dgr1819Z1619Z_c + dgdg205n31619Z_c
9174,GGGT_MYRS_PALM_1_c,Galactolipid galactosyltransferase(14:0/16:0),mgdg140160_c + mgdg205n3_c <==> 12dgr205n3_c + dgdg140160_c
9175,GGGT_MYRS_PALM_5_c,Galactolipid galactosyltransferase(14:0/16:0),mgdg140160_c + mgdg1819Z1619Z_c <==> 12dgr1819Z1619Z_c + dgdg140160_c
9176,GGGT_PALM_PALM_3_c,Galactolipid galactosyltransferase(16:0/16:0),mgdg140160_c + mgdg160_c <==> 12dgr140160_c + dgdg160_c
9177,GGGT_PALM_PALM_5_c,Galactolipid galactosyltransferase(16:0/16:0),mgdg160_c + mgdg1819Z1619Z_c <==> 12dgr1819Z1619Z_c + dgdg160_c
9178,GGGT_OLE_HDE_5_c,Galactolipid galactosyltransferase(18:1(9Z)/16:1(9Z)),2.0 mgdg1819Z1619Z_c <==> 12dgr1819Z1619Z_c + dgdg1819Z1619Z_c
9179,DGDGGH_EPA_HDE_c,"Digalactosyl-diacylglycerol galactohydrolase (20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",dgdg205n31619Z_c + h2o_c <==> gal_c + mgdg205n31619Z_c
9180,DGDGGH_PALM_PALM_c,Digalactosyl-diacylglycerol galactohydrolase (16:0/16:0),dgdg160_c + h2o_c <==> gal_c + mgdg160_c
9181,MGDGGH_EPA_HDE_c,"Monogalactosyl-diacylglycerol galactohydrolase (20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",h2o_c + mgdg205n31619Z_c <==> 12dgr205n31619Z_c + gal_c
9182,MGDGGH_MYRS_PALM_c,Monogalactosyl-diacylglycerol galactohydrolase (14:0/16:0),h2o_c + mgdg140160_c <==> 12dgr140160_c + gal_c
9183,FAC220_tx,Fatty acid transport (22:0) (Cytosol to peroxisome; ATP dependent),atp_c + behen_c + h2o_c <==> adp_c + behen_x + h_c + pi_c
9184,FACOAL_C205_x,"Long chain acyl-CoA synthetase (20:5(5Z,8Z,11Z,14Z,17Z))",atp_x + coa_x + tmndnc_x <==> amp_x + ppi_x + tmndnccoa_x
9185,FACOAL_C220_x,Long chain acyl-CoA synthetase (22:0),atp_x + behen_x + coa_x <==> amp_x + behencoa_x + ppi_x
9186,FACOAL_C226_x,"Long chain acyl-CoA synthetase (22:6(4Z,7Z,10Z,13Z,16Z,19Z))",atp_x + coa_x + crvnc_x <==> amp_x + c226coa_x + ppi_x
9187,ACOAOX240_x,Acyl-CoA oxidase (24:0),fad_x + lgnccoa_x <==> fadh2_x + ttc2coa_x
9188,KAT240_x,Beta-ketoacyl CoA thiolase (24:0),3ottccoa_x + coa_x <==> accoa_x + behencoa_x
9189,HADH220_x,3-hydroxacyl-CoA dehydrogenase (22:0),3hdocoscoa_x + nad_x <==> 3odocoscoa_x + h_x + nadh_x
9190,ECH201_2E_x,Enoyl-CoA hydratase (20:1(2E)),eicos2coa_x + h2o_x <==> 3heicoscoa_x
9191,KAT200_x,Beta-ketoacyl CoA thiolase (20:0),3oeicoscoa_x + coa_x <==> accoa_x + ocdccoa_x
9192,ACOAOX204_5Z8Z11Z14Z_x,"Acyl-CoA oxidase (20:4(5Z,8Z,11Z,14Z))",arachdcoa_x + fad_x <==> eico2581114coa_x + fadh2_x
9193,ECH205_2E5Z8Z11Z14Z_x,"Enoyl-CoA hydratase (20:5(2E,5Z,8Z,11Z,14Z))",eico2581114coa_x + h2o_x <==> 3heico581114coa_x
9194,KAT204_3OXO5Z8Z11Z14Z_x,"Beta-ketoacyl CoA thiolase (20:4 3-oxo-(5Z,8Z,11Z,14Z))",3oeico581114coa_x + coa_x <==> accoa_x + od36912coa_x
9195,ECOAI184_3Z6Z9Z12Z_x,"Delta-3(Z)-Delta-2(E)-enoyl-CoA isomerase (18:4(3Z,6Z,9Z,12Z))",od36912coa_x <==> c6912odtte2coa_x
9196,ACOAOX163_4Z7Z10Z_x,"Acyl-CoA oxidase (16:3(4Z,7Z,10Z))",fad_x + hd4710coa_x <==> fadh2_x + hd24710coa_x
9197,ECH163_2E7Z10Z_x,"Enoyl-CoA hydratase (16:3(2E,7Z,10Z))",h2o_x + hd2710coa_x <==> 3hhd710coa_x
9198,HADH162_3H7Z10Z_x,"3-hydroxacyl-CoA dehydrogenase (16:2 3-hydroxy-(7Z,10Z))",3hhd710coa_x + nad_x <==> 3ohd710coa_x + h_x + nadh_x
9199,KAT162_3OXO7Z10Z_x,"Beta-ketoacyl CoA thiolase (16:2 3-oxo-(7Z,10Z))",3ohd710coa_x + coa_x <==> accoa_x + td58coa_x
9200,HADH142_3H5Z8Z_x,"3-hydroxacyl-CoA dehydrogenase (14:2 3-hydroxy-(5Z,8Z))",3htd58coa_x + nad_x <==> 3otd58coa_x + h_x + nadh_x
9201,KAT142_3OXO5Z8Z_x,"Beta-ketoacyl CoA thiolase (14:2 3-oxo-(5Z,8Z))",3otd58coa_x + coa_x <==> accoa_x + dd36coa_x
9202,KAT121_3OXO6Z_x,Beta-ketoacyl CoA thiolase (12:1 3-oxo-(6Z)),3od6coa_x + coa_x <==> accoa_x + dd4coa_x
9203,DECOAR102_2E4Z_x,"2,4-dienoyl-CoA reductase (NADPH) (10:2(2E,4Z))",c4dde2coa_x + h_x + nadph_x <==> dc3coa_x + nadp_x
9204,ACOAOX205_5Z8Z11Z14Z17Z_x,"Acyl-CoA oxidase (20:5(5Z,8Z,11Z,14Z,17Z))",fad_x + tmndnccoa_x <==> eico258111417coa_x + fadh2_x
9205,ECH206_2E5Z8Z11Z14Z17Z_x,"Enoyl-CoA hydratase (20:6(2E,5Z,8Z,11Z,14Z,17Z))",eico258111417coa_x + h2o_x <==> 3heico58111417coa_x
9206,HADH205_3H5Z8Z11Z14Z17Z_x,"3-hydroxacyl-CoA dehydrogenase (20:5 3-hydroxy-(5Z,8Z,11Z,14Z,17Z))",3heico58111417coa_x + nad_x <==> 3oeico58111417coa_x + h_x + nadh_x
9207,KAT205_3OXO5Z8Z11Z14Z17Z_x,"Beta-ketoacyl CoA thiolase (20:5 3-oxo-(5Z,8Z,11Z,14Z,17Z))",3oeico58111417coa_x + coa_x <==> accoa_x + od3691215coa_x
9208,HADH184_3H6Z9Z12Z15Z_x,"3-hydroxacyl-CoA dehydrogenase (18:4 3-hydroxy-(6Z,9Z,12Z,15Z))",3hod691215coa_x + nad_x <==> 3ood691215coa_x + h_x + nadh_x
9209,KAT184_3OXO6Z9Z12Z15Z_x,"Beta-ketoacyl CoA thiolase (18:4 3-oxo-(6Z,9Z,12Z,15Z))",3ood691215coa_x + coa_x <==> accoa_x + hd471013coa_x
9210,HADH163_3H7Z10Z13Z_x,"3-hydroxacyl-CoA dehydrogenase (16:3 3-hydroxy-(7Z,10Z,13Z))",3hhd71013coa_x + nad_x <==> 3ohd71013coa_x + h_x + nadh_x
9211,KAT163_3OXO7Z10Z13Z_x,"Beta-ketoacyl CoA thiolase (16:3 3-oxo-(7Z,10Z,13Z))",3ohd71013coa_x + coa_x <==> accoa_x + td5811coa_x
9212,ECH144_2E5Z8Z11Z_x,"Enoyl-CoA hydratase (14:4(2E,5Z,8Z,11Z))",h2o_x + td25811coa_x <==> 3htd5811coa_x
9213,HADH143_3H5Z8Z11Z_x,"3-hydroxacyl-CoA dehydrogenase (14:3 3-hydroxy-(5Z,8Z,11Z))",3htd5811coa_x + nad_x <==> 3otd5811coa_x + h_x + nadh_x
9214,ECOAI123_3Z6Z9Z_x,"Delta-3(Z)-Delta-2(E)-enoyl-CoA isomerase (12:3(3Z,6Z,9Z))",dd369coa_x <==> dd269coa_x
9215,ECH123_2E6Z9Z_x,"Enoyl-CoA hydratase (12:3(2E,6Z,9Z))",dd269coa_x + h2o_x <==> 3hdd69coa_x
9216,ACOAOX102_4Z7Z_x,"Acyl-CoA oxidase (10:2(4Z,7Z))",dc47coa_x + fad_x <==> dc247coa_x + fadh2_x
9217,ECH102_2E7Z_x,"Enoyl-CoA hydratase (10:2(2E,7Z))",dc27coa_x + h2o_x <==> 3hdc7coa_x
